,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,journalist_follower_count
15727317,aterkel,"Terkel, Amanda",Huffington Post,Senior Political Reporter & Politics Managing Editor,F,78736,5996,40718,Mon Aug 04 20:24:44 +0000 2008,True,False,105.0,21.0,8.0,171.0,305.0,527
15837659,jbendery,"Bendery, Jennifer",Huffington Post,Politics Reporter,M,41000,346,65406,Wed Aug 13 15:05:39 +0000 2008,True,False,649.0,381.0,844.0,726.0,2600.0,520
7768402,ryanjreilly,"Reilly, Ryan",Huffington Post,Senior Justice Reporter,M,87587,7376,41913,Fri Jul 27 19:01:55 +0000 2007,True,False,184.0,35.0,257.0,362.0,838.0,519
17881467,rebeccagberg,"Berg, Rebecca",RealClearPolitics,National Political Reporter,F,48798,1508,29831,Thu Dec 04 22:21:08 +0000 2008,True,False,99.0,118.0,78.0,356.0,651.0,516
375662595,EricLiptonNYT,"Lipton, Eric",New York Times,Investigative Reporter,M,100822,727,12718,Sun Sep 18 14:38:03 +0000 2011,True,False,273.0,88.0,106.0,848.0,1315.0,511
22129280,jimsciutto,"Sciutto, James",CNN,Chief National Security Correspondent,M,172012,503,19850,Fri Feb 27 11:07:05 +0000 2009,True,False,311.0,308.0,124.0,249.0,992.0,507
230450027,gdebenedetti,"Debenedetti, Gabriel A.",Politico,National Political Reporter,M,41563,215,26591,Sat Dec 25 14:21:35 +0000 2010,True,False,174.0,119.0,143.0,137.0,573.0,507
151444950,DaviSusan,"Davis, Susan",National Public Radio,Congressional Reporter,F,27297,3344,7325,Thu Jun 03 12:33:41 +0000 2010,True,False,90.0,104.0,165.0,179.0,538.0,506
17910554,michaelscherer,"Scherer, Michael B.",Time Magazine,Washington Bureau Chief,M,32918,2226,23477,Fri Dec 05 22:54:46 +0000 2008,True,False,38.0,81.0,1.0,223.0,343.0,505
21534951,adamgoldmanNYT,"Goldman, Adam",New York Times,FBI & National Security Reporter,M,71083,347,21333,Sun Feb 22 01:33:40 +0000 2009,True,False,384.0,73.0,130.0,186.0,773.0,501
20474813,DomenicoNPR,"Montanaro, Domenico",National Public Radio,Lead Editor,M,64450,2361,33271,Mon Feb 09 22:44:33 +0000 2009,True,False,339.0,133.0,180.0,53.0,705.0,501
91386979,PeterAlexander,"Alexander, Peter",NBC News,National Correspondent,M,192392,485,2814,Fri Nov 20 17:37:33 +0000 2009,True,False,121.0,27.0,0.0,7.0,155.0,500
327862439,jonathanvswan,"Swan, Jonathan",Axios,National Political Reporter,M,55864,4239,22965,Sat Jul 02 08:39:41 +0000 2011,True,False,276.0,288.0,133.0,1090.0,1787.0,500
15463486,KThomasDC,"Thomas, Ken",Associated Press,White House Reporter,M,21075,1997,26980,Thu Jul 17 03:16:45 +0000 2008,True,False,320.0,15.0,2.0,170.0,507.0,493
18915795,GeraldFSeib,"Seib, Gerald",Wall Street Journal,Bureau Chief & Writer,M,32313,243,6156,Mon Jan 12 21:14:51 +0000 2009,True,False,73.0,19.0,1.0,7.0,100.0,492
16459325,ryanbeckwith,"Beckwith, Ryan Teague",Time Magazine,Politics Editor,M,20947,6944,92203,Thu Sep 25 22:43:36 +0000 2008,True,False,1534.0,521.0,901.0,2231.0,5187.0,487
22891564,chrisgeidner,"Geidner, Chris",BuzzFeed,Legal Editor & Supreme Court Correspondent,M,83316,4858,205504,Thu Mar 05 06:48:00 +0000 2009,True,False,788.0,550.0,3917.0,989.0,6244.0,485
47694175,SamFeistCNN,"Feist, Sam",CNN,Washington Bureau Chief,M,49715,238,1814,Tue Jun 16 18:05:40 +0000 2009,True,False,5.0,0.0,0.0,2.0,7.0,484
30249306,MarthaRaddatz,"Raddatz, Martha",ABC News,Chief Global Affairs Correspondent,M,97978,947,1807,Fri Apr 10 16:20:20 +0000 2009,True,False,9.0,0.0,4.0,14.0,27.0,479
16898332,Philip_Elliott,"Elliott III, Philip Robert",Time Magazine,Washington Correspondent,M,27733,5185,23562,Wed Oct 22 01:54:16 +0000 2008,True,False,356.0,153.0,178.0,326.0,1013.0,479
115564212,IsaacDovere,"Dovere, Edward-Isaac",Politico,Chief Washington Correspondent,M,37483,797,31492,Fri Feb 19 03:10:56 +0000 2010,True,False,544.0,481.0,98.0,205.0,1328.0,478
27055034,SabrinaSiddiqui,"Siddiqui, Sabrina",Guardian US,Political Reporter,F,53835,1122,53508,Fri Mar 27 17:45:08 +0000 2009,True,False,287.0,62.0,25.0,395.0,769.0,474
23621827,DavidNakamura,"Nakamura, David",Washington Post,White House Reporter,M,28836,1002,12077,Tue Mar 10 17:42:56 +0000 2009,True,False,194.0,74.0,65.0,29.0,362.0,474
136550204,scottwongDC,"Wong, Scott B.",The Hill,Senior Staff Writer,M,19554,2769,22882,Sat Apr 24 07:31:45 +0000 2010,True,False,487.0,223.0,86.0,1422.0,2218.0,473
87271106,BCAppelbaum,"Appelbaum, Binyamin",New York Times,Washington Correspondent,M,78272,834,23504,Tue Nov 03 20:10:35 +0000 2009,True,False,156.0,150.0,220.0,239.0,765.0,468
18227519,morningmika,"Brzezinski, Mika",MSNBC,"Co-Host, Morning Joe",F,653031,664,10023,Thu Dec 18 22:33:51 +0000 2008,True,False,37.0,2.0,2.0,70.0,111.0,464
